,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
291,Vestmannaeyjar,75,IS,1592243071,66,63.44,-20.27,50.0,12.75
292,Ilhabela,79,BR,1592243073,83,-23.78,-45.36,69.58,10.2
293,Mocuba,58,MZ,1592243074,96,-16.84,36.99,60.8,3.91
294,Kaitangata,1,NZ,1592243075,77,-46.28,169.85,46.0,4.0
295,Kuching,40,MY,1592242899,94,1.55,110.33,75.2,2.24
296,Trincomalee,95,LK,1592243078,74,8.57,81.23,83.84,15.48
297,Hualmay,85,PE,1592243079,69,-11.1,-77.61,68.45,13.2
298,Preobrazheniye,89,RU,1592243081,91,42.9,133.91,52.7,4.0
299,Kandrian,39,PG,1592243082,89,-6.22,149.55,77.27,4.76
300,Korostyshiv,0,UA,1592243083,89,50.32,29.06,68.23,5.19
301,Blackwater,0,AU,1592243085,52,-23.58,148.88,57.67,9.4
302,Bambanglipuro,35,ID,1592243086,89,-7.95,110.28,78.12,8.57
303,Nhulunbuy,36,AU,1592243087,82,-12.23,136.77,78.26,14.72
304,Talnakh,7,RU,1592243089,65,69.49,88.4,41.0,8.95
305,Harper,100,LR,1592243090,82,4.38,-7.72,79.29,7.72
306,Bougouni,13,ML,1592243092,28,11.42,-7.48,99.14,6.17
307,Kamenka,0,RU,1592243093,46,51.32,42.77,69.01,11.63
308,Castro,89,BR,1592243094,79,-24.79,-50.01,62.56,8.75
309,Yongchang,100,CN,1592243096,92,30.04,119.73,80.01,1.72
310,Maniitsoq,100,GL,1592243097,87,65.42,-52.9,37.74,8.59
311,Bichena,97,ET,1592243098,54,10.45,38.2,61.9,3.22
312,Ancud,99,CL,1592243100,87,-41.87,-73.82,50.0,6.93
313,Port-Gentil,90,GA,1592243101,88,-0.72,8.78,77.0,10.29
314,Marsá Maţrūḩ,0,EG,1592243102,69,31.35,27.25,75.2,6.93
315,Camocim,31,BR,1592243104,64,-2.9,-40.84,86.5,7.65
316,Sungai Penuh,81,ID,1592243105,94,-2.08,101.38,65.62,3.69
317,Tūkrah,0,LY,1592243106,68,32.53,20.58,73.67,20.18
318,Posse,0,BR,1592243108,45,-14.09,-46.37,79.02,12.28
319,Cockburn Town,40,TC,1592243109,70,21.46,-71.14,86.0,13.87
320,Weligama,26,LK,1592243112,88,5.97,80.42,81.54,9.26
321,Portmore,20,JM,1592243113,74,17.97,-76.87,87.8,20.8
322,Antofagasta,75,CL,1592242931,67,-23.65,-70.4,62.6,12.75
323,Dāmghān,1,IR,1592243116,26,36.17,54.35,82.81,12.53
324,George Town,20,MY,1592243117,88,5.41,100.34,84.2,4.7
325,Sault Ste. Marie,1,CA,1592242946,40,46.52,-84.33,69.8,10.29
326,Nizhnevartovsk,36,RU,1592243121,76,60.93,76.55,48.2,2.24
327,Baykit,45,RU,1592243124,86,61.67,96.37,43.05,2.75
328,Tibati,49,CM,1592243125,81,6.47,12.63,72.97,3.87
329,Buraidah,7,SA,1592243127,15,26.33,43.98,104.0,2.24
330,Quimbaya,40,CO,1592243128,61,4.62,-75.76,80.6,3.44
331,Barão de Melgaço,20,BR,1592243129,54,-16.19,-55.97,82.4,4.7
332,Moroni,38,KM,1592243131,77,-11.7,43.26,74.61,14.74
333,Laramie,1,US,1592243132,25,41.31,-105.59,70.0,11.41
334,Dingle,100,PH,1592243133,88,11.0,122.67,77.2,5.55
335,Uniontown,78,US,1592243103,35,39.9,-79.72,75.0,1.99
336,Ahipara,100,NZ,1592243137,86,-35.17,173.17,56.32,8.7
337,Coos Bay,90,US,1592243139,87,43.37,-124.22,59.0,8.05
338,Emirdağ,65,TR,1592243140,61,39.02,31.15,66.9,4.14
339,Florianópolis,75,BR,1592243122,63,-27.61,-48.5,70.0,10.29
340,Berbérati,71,CF,1592243143,91,4.26,15.79,72.54,1.23
341,Hofn,90,IS,1592243145,93,64.25,-15.21,50.0,14.99
342,Okhotsk,1,RU,1592243147,80,59.38,143.3,45.77,6.51
343,Port Hedland,5,AU,1592243148,45,-20.32,118.57,64.4,6.93
344,Pimentel,16,PE,1592243150,60,-6.84,-79.93,73.4,16.11
345,Eyl,16,SO,1592243151,54,7.98,49.82,85.6,21.12
346,Murgab,0,TM,1592243152,27,37.5,61.97,91.4,2.24
347,Lüderitz,0,NA,1592243154,16,-26.65,15.16,75.2,10.29
348,Bonthe,98,SL,1592243155,76,7.53,-12.51,81.93,9.6
349,Bana,5,CM,1592243156,100,5.15,10.28,64.33,1.63
350,Kenai,20,US,1592243158,66,60.55,-151.26,57.0,12.75
351,Ubari,0,LY,1592243159,13,26.59,12.78,90.41,12.93
352,Palana,0,RU,1592243160,73,59.12,159.97,49.77,2.53
353,Rio Grande,40,BR,1592243009,68,-32.03,-52.1,64.4,16.11
354,Henties Bay,0,NA,1592243163,66,-22.12,14.28,64.99,3.0
355,Saint-Augustin,22,CA,1592243164,38,51.23,-58.65,61.48,18.61
356,Mokhotlong,0,LS,1592243167,76,-29.29,29.07,29.23,5.79
357,Puerto Escondido,5,MX,1592243168,66,15.85,-97.07,87.8,8.05
358,Ucluelet,90,CA,1592242976,100,48.93,-125.55,53.01,6.93
359,Constitución,100,CL,1592243172,83,-35.33,-72.42,55.22,25.14
360,Chivilcoy,63,AR,1592243174,44,-34.9,-60.02,53.51,11.95
361,São João do Piauí,0,BR,1592243175,36,-8.36,-42.25,89.17,9.73
